name,page_image,title,page_link
참교육,https://shared-comic.pstatic.net/thumb/webtoon/758037/45/thumbnail_202x120_db30a90a-ee7e-4e48-b245-0f9a6df3fcd0.jpg,45화,https://comic.naver.com/webtoon/detail?titleId=758037&no=45&weekday=mon
참교육,https://shared-comic.pstatic.net/thumb/webtoon/758037/44/thumbnail_202x120_b7c72e6c-2a0f-4eb7-b8fe-f28e62707e7d.jpg,44화,https://comic.naver.com/webtoon/detail?titleId=758037&no=44&weekday=mon
참교육,https://shared-comic.pstatic.net/thumb/webtoon/758037/43/thumbnail_202x120_d5068c68-4d2a-41ea-ac04-34a13d1b493a.jpg,43화,https://comic.naver.com/webtoon/detail?titleId=758037&no=43&weekday=mon
참교육,https://shared-comic.pstatic.net/thumb/webtoon/758037/42/thumbnail_202x120_0622276d-e62d-4c2b-80b3-6ac184974895.jpg,42화,https://comic.naver.com/webtoon/detail?titleId=758037&no=42&weekday=mon
참교육,https://shared-comic.pstatic.net/thumb/webtoon/758037/41/thumbnail_202x120_249eb634-8c6f-4110-bd7f-c73179a21942.jpg,41화,https://comic.naver.com/webtoon/detail?titleId=758037&no=41&weekday=mon
참교육,https://shared-comic.pstatic.net/thumb/webtoon/758037/40/thumbnail_202x120_df1f1dac-f5d3-4ca9-950b-cce9dca11add.jpg,40화,https://comic.naver.com/webtoon/detail?titleId=758037&no=40&weekday=mon
참교육,https://shared-comic.pstatic.net/thumb/webtoon/758037/39/thumbnail_202x120_d389de3a-7e23-4323-b177-787754d18c72.jpg,39화,https://comic.naver.com/webtoon/detail?titleId=758037&no=39&weekday=mon
참교육,https://shared-comic.pstatic.net/thumb/webtoon/758037/38/thumbnail_202x120_fcc4dbb4-f435-4d74-8f67-b7918428644d.jpg,38화,https://comic.naver.com/webtoon/detail?titleId=758037&no=38&weekday=mon
참교육,https://shared-comic.pstatic.net/thumb/webtoon/758037/37/thumbnail_202x120_aa0b8413-f70f-4835-bb21-b0089769e104.jpg,37화,https://comic.naver.com/webtoon/detail?titleId=758037&no=37&weekday=mon
참교육,https://shared-comic.pstatic.net/thumb/webtoon/758037/36/thumbnail_202x120_5c2a1670-f975-4a3e-b69e-88808d8986b8.jpg,36화,https://comic.naver.com/webtoon/detail?titleId=758037&no=36&weekday=mon
참교육,https://shared-comic.pstatic.net/thumb/webtoon/758037/1/thumbnail_202x120_d8492955-7ea7-425c-bc3a-ac2079f5710f.jpg,1화,https://comic.naver.com/webtoon/detail?titleId=758037&no=1&weekday=mon
참교육,https://shared-comic.pstatic.net/thumb/webtoon/758037/2/thumbnail_202x120_598497c5-bbc8-4581-bb40-52a87527ac6c.jpg,2화,https://comic.naver.com/webtoon/detail?titleId=758037&no=2&weekday=mon
참교육,https://shared-comic.pstatic.net/thumb/webtoon/758037/3/thumbnail_202x120_cd9d0b4d-39bc-49c3-8616-74ad28536e5b.jpg,3화,https://comic.naver.com/webtoon/detail?titleId=758037&no=3&weekday=mon
참교육,https://shared-comic.pstatic.net/thumb/webtoon/758037/4/thumbnail_202x120_14b40766-32c4-4ea8-bc90-1a7b91cf405c.jpg,4화,https://comic.naver.com/webtoon/detail?titleId=758037&no=4&weekday=mon
참교육,https://shared-comic.pstatic.net/thumb/webtoon/758037/5/thumbnail_202x120_c2af7154-4ab3-406b-ae26-59b1c8ecfe45.jpg,5화,https://comic.naver.com/webtoon/detail?titleId=758037&no=5&weekday=mon
참교육,https://shared-comic.pstatic.net/thumb/webtoon/758037/6/thumbnail_202x120_59b9a33a-8ff3-4542-bb8b-7bc0d0023d0e.jpg,6화,https://comic.naver.com/webtoon/detail?titleId=758037&no=6&weekday=mon
참교육,https://shared-comic.pstatic.net/thumb/webtoon/758037/7/thumbnail_202x120_3050c7c4-f7df-4ccb-b56a-dcba085f68e9.jpg,7화,https://comic.naver.com/webtoon/detail?titleId=758037&no=7&weekday=mon
참교육,https://shared-comic.pstatic.net/thumb/webtoon/758037/8/thumbnail_202x120_58095e63-fa26-4c20-9138-811e59ba6d74.jpg,8화,https://comic.naver.com/webtoon/detail?titleId=758037&no=8&weekday=mon
참교육,https://shared-comic.pstatic.net/thumb/webtoon/758037/9/thumbnail_202x120_3e627ccb-dae8-4f26-9b69-67b2adf2bd19.jpg,9화,https://comic.naver.com/webtoon/detail?titleId=758037&no=9&weekday=mon
참교육,https://shared-comic.pstatic.net/thumb/webtoon/758037/10/thumbnail_202x120_412ed3bf-38ff-4493-a2a0-cbd8d937181b.jpg,10화,https://comic.naver.com/webtoon/detail?titleId=758037&no=10&weekday=mon
신의 탑,https://shared-comic.pstatic.net/thumb/webtoon/183559/505/thumbnail_202x120_bcc52d63-75a5-49bf-b1e2-145dbb835c90.jpg,3부 86화,https://comic.naver.com/webtoon/detail?titleId=183559&no=505&weekday=mon
신의 탑,https://shared-comic.pstatic.net/thumb/webtoon/183559/504/thumbnail_202x120_bdf9f9de-1ca4-4498-a6b7-7e5136e2300c.jpg,3부 85화,https://comic.naver.com/webtoon/detail?titleId=183559&no=504&weekday=mon
